Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,6,267,10,0.015625,-0.01220703125,0.986328125,0.0,-0.06103515625,0.06103515625,5.829626373626155,-4.753064713064759,-3.904410256410756,1687593775.071322
2,1,1,6,277,10,0.00439453125,-0.0087890625,1.0009765625,-0.06103515625,0.06103515625,0.06103515625,4.330236874236661,8.741440781440701,8.090705738705196,1687593775.0783203
3,1,1,6,287,10,0.0009765625,-0.00390625,0.9970703125,0.1220703125,0.30517578125,-0.06103515625,-19.659995115995333,-7.751843711843776,3.5925372405367284,1687593775.0923207
4,1,1,6,297,10,0.01416015625,-0.01806640625,1.00439453125,-0.06103515625,0.42724609375,0.1220703125,4.330236874236661,1.2444932844932168,0.5937582417577119,1687593775.1063206
5,1,1,6,307,10,-0.00439453125,-0.0087890625,1.0,0.0,0.3662109375,0.0,-1.6673211233213436,-4.753064713064759,3.5925372405367284,1687593775.1073213
6,1,1,6,317,10,0.00390625,-0.00390625,1.02685546875,0.244140625,0.42724609375,0.0,-4.666100122100339,-7.751843711843776,3.5925372405367284,1687593775.119349
7,1,1,6,327,10,0.00439453125,-0.0078125,1.0244140625,0.18310546875,0.48828125,-0.1220703125,-0.16793162393184247,4.243272283272233,-2.405020757021248,1687593775.1273577
8,1,1,6,337,10,0.00146484375,-0.0029296875,1.02734375,0.18310546875,0.54931640625,0.0,-10.663658119658336,4.243272283272233,-8.402578754579281,1687593775.1473563
9,1,1,6,347,10,0.00146484375,-0.0048828125,1.005859375,0.06103515625,0.54931640625,0.1220703125,-1.6673211233213436,5.742661782661685,-0.9056312576317396,1687593775.150356
10,1,1,6,357,10,0.00146484375,-0.00732421875,0.9970703125,0.06103515625,0.1220703125,0.0,-9.164268620268835,2.743882783882725,9.590095238094705,1687593775.1513853
11,1,1,6,367,10,0.01171875,-0.0166015625,1.001953125,0.06103515625,0.1220703125,0.0,-4.666100122100339,-7.751843711843776,9.590095238094705,1687593775.169618
12,1,1,6,377,10,0.009765625,-0.0107421875,0.998046875,0.0,0.18310546875,0.0,14.825963369963155,8.741440781440701,0.5937582417577119,1687593775.1836178
13,1,1,6,387,10,0.00439453125,-0.0166015625,1.00244140625,-0.06103515625,0.0,-0.06103515625,13.326573870573654,2.743882783882725,-3.904410256410756,1687593775.192617
14,1,1,6,397,10,0.0126953125,-0.0107421875,0.9951171875,-0.18310546875,-0.244140625,0.0,-3.1667106227108377,1.2444932844932168,0.5937582417577119,1687593775.2196467
15,1,1,6,407,10,-0.00146484375,-0.013671875,0.99462890625,-0.18310546875,-0.244140625,-0.06103515625,13.326573870573654,-4.753064713064759,-3.904410256410756,1687593775.2216175
16,1,1,6,417,10,0.001953125,-0.0126953125,0.98388671875,-0.06103515625,-0.42724609375,-0.1220703125,5.829626373626155,10.24083028083021,-3.904410256410756,1687593775.2226157
17,1,1,6,427,10,0.01025390625,-0.0166015625,0.994140625,-0.1220703125,-0.18310546875,-0.1220703125,13.326573870573654,-0.25489621489629144,-0.9056312576317396,1687593775.2356164
18,1,1,6,437,10,0.00146484375,-0.01123046875,0.99560546875,0.1220703125,0.0,0.06103515625,-16.661216117216334,-9.251233211233284,-5.403799755800264,1687593775.2506177
19,1,1,6,447,10,0.00830078125,-0.00830078125,0.9892578125,-0.1220703125,-0.18310546875,0.0,19.324131868131644,-0.25489621489629144,-11.401357753358297,1687593775.2516172
20,1,1,6,457,10,0.00634765625,0.0029296875,0.998046875,-0.06103515625,-0.18310546875,0.0,4.330236874236661,-1.7542857142857997,5.091926739926237,1687593775.278656
21,1,1,6,467,10,0.0078125,-0.0048828125,0.9833984375,0.0,0.06103515625,-0.06103515625,7.329015873015656,-6.252454212454268,0.5937582417577119,1687593775.2796175
22,1,1,6,477,10,0.00732421875,-0.0048828125,1.01171875,0.0,0.30517578125,0.18310546875,-3.1667106227108377,-6.252454212454268,5.091926739926237,1687593775.2816179
23,1,1,6,487,10,0.00146484375,0.00341796875,1.01220703125,0.1220703125,0.18310546875,0.0,4.330236874236661,-13.749401709401809,0.5937582417577119,1687593775.2926178
24,1,1,6,497,10,0.0029296875,-0.009765625,1.0146484375,0.18310546875,0.3662109375,0.0,4.330236874236661,8.741440781440701,15.587653235652738,1687593775.3026161
25,1,1,6,507,10,0.00439453125,-0.00341796875,1.0205078125,0.18310546875,0.30517578125,0.0,-4.666100122100339,2.743882783882725,3.5925372405367284,1687593775.3156173
26,1,1,6,517,10,-0.001953125,-0.0107421875,1.02685546875,0.0,0.6103515625,0.18310546875,7.329015873015656,1.2444932844932168,-5.403799755800264,1687593775.3176165
27,1,1,6,527,10,0.00634765625,-0.0126953125,1.02587890625,0.30517578125,0.48828125,0.0,2.83084737484716,2.743882783882725,-6.903189255189773,1687593775.329616
28,1,1,6,537,10,0.00927734375,-0.00146484375,1.01611328125,0.0,0.67138671875,0.0,4.330236874236661,4.243272283272233,-8.402578754579281,1687593775.3716156
29,1,1,6,547,10,-0.00146484375,-0.00537109375,1.0029296875,0.06103515625,0.3662109375,-0.18310546875,8.828405372405157,-10.750622710622793,3.5925372405367284,1687593775.3736162
30,1,1,6,557,10,0.005859375,-0.0087890625,1.00439453125,0.18310546875,0.54931640625,0.0,-1.6673211233213436,-4.753064713064759,-11.401357753358297,1687593775.3756168
31,1,1,6,567,10,0.00927734375,-0.00927734375,1.00341796875,0.1220703125,0.42724609375,0.1220703125,-10.663658119658336,8.741440781440701,-2.405020757021248,1687593775.3766177
32,1,1,6,577,10,0.00634765625,-0.0185546875,1.01708984375,0.1220703125,0.18310546875,0.0,-6.16548962148984,-6.252454212454268,-5.403799755800264,1687593775.3916163
